爱好,小众程度,入坑时间,总花销,领域内程度等级,领域内程度描述,每日时长,金钱投入门槛,时间投入门槛,社会认知程度描述,社会认知程度等级
骑行,公路自行车，休闲骑。,5~10年,7万左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,3000左右,100小时,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
网球,,5~10年,20000元,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门需要基本的培训，一套课程5000左右，球拍一般入门拍500以内。精通的话业余需要的课程基本要2w左右，职业的话没有上限,入门的话快一个星期，长一个月，也有学不会的人。精通的话业余达到5.0水平想his好需要了两年吧，职业的话基本需要童子功。,3 - 不高不低,3
看网络小说,,>10年,200000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0(有盗版的正版),入门:1年 精通:5年,5 - 广为人知，老少咸宜的全民爱好,5
游戏卡带收集,,1~3年,3000左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,50000以上,3-5年,,
编程,,>10年,3000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,理论上只要有一台电脑，可以一分钱都不花。但代码写的多了难免想租个服务器挂个脚本玩玩，个人网站的服务器可能得个300-500/年。如果想尝试嵌入式编程，需要买硬件，这部分也不贵，每个硬件可能1-200就搞定了。但都入坑硬件了，不得自己有一套工具吗，又是一笔钱，可能1000以内就搞定了。总之这个爱好花费真的不高。,如果定义入门为随便打印出一串字符串，可能只需要几个小时。如果想自己写一些简单的工具，比如自动控制鼠标键盘的工具，去网上抄代码改改可能只需要几天。但如果想随心所欲的创造自己想要的自动化工具，可能需要不断的写代码，读别人的代码，刷题，经过一两年的熟悉，才算是真的入门吧。至于真正精通，这需要一个底层项目的契机来让你对某种语言的水平真正升华，不能用时间来衡量。,3 - 不高不低,3
摄影三连,,3~5年,20000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,4000，8000，8000+5000,至少一年，并且一周有3天实践,5 - 广为人知，老少咸宜的全民爱好,5
增肌,并不小众,3~5年,6000左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门 0  精通 无上限,入门 0 精通 无上限,4,4
看动漫,,>10年,近几年为了看番订阅的流媒体服务（B站大会员、网飞之类的）：3000左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门无成本，精通无上限,学会怎么自由的看番要大概半小时？精通各种类番剧……一个月？,无须作答,
手绘,,>10年,兴趣班的课费，自己买画材啊啥的加起来应该一两万了,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,至少上万了,至少需要好几年打好基础，我是从6岁开始画儿童画，5年级才开始画素描石膏，高二就基本可以尝试模仿各种画风了,5 - 广为人知，老少咸宜的全民爱好,5
足球,,>10年,1000+,硬核大佬，这个领域基本玩到头了,4,1~3小时,0-10000,一年以上,,
收集充电头,收集不同接口，不同协议，不同功率的电源适配器,1~3年,500,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门30精通1000,每天1小时,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
养多肉,,<1年,300,萌新入门阶段，还在摸索学习,1,<1小时,200,10小时，100小时,,
洋酒,主要是调酒的6大基酒,3~5年,20000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门每瓶100元即可，收藏级别的有天文数字，市售的最贵的酒在3000元左右,想喝酒的话随时都可以喝，想了解酒的历史的话看看视频，一星期左右吧,4,4
音乐游戏,就是跟着音乐节奏和游戏里的音符进行相应的手部运动。不同平台的音游玩法也是不一样的，移动端，主机端，pc端，街机，vr，等等，基本都可以看到音游的身影。,3~5年,30000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门3000 精通金钱不限,入门7天 精通3年甚至更多,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
绘画,,1~3年,1w元,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0和上不封顶,0和无上限,,
穿搭,不是很小众,1~3年,五位数,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,可以很少可以很多从几百几千到几万几十万甚至更多,看个人,3 - 不高不低,3
养爬宠,,<1年,600,萌新入门阶段，还在摸索学习,1,<1小时,500 10000,一天  半年,,
轮滑,每只鞋有4个轮，单排的。可以做各种各样的动作，也能当代步工具(仅限自己逛着玩),3~5年,3000+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,新手的话买一双比较普通的轮滑鞋，一套桩，两套轮子啥的大概不到400元。再往后就是不断的更新更专业的轮滑鞋和轮子，就比如我买了双1400+的轮滑鞋，这双也就算入门吧。精通我也不知道要多少，毕竟我自己远远达不到精通的程度。,入门的话至少要半年起步，精通就要以年为单位，毕竟不是专业玩这个的。另外看你想用它做什么，如果只是滑着玩，不需要什么花哨好看的动作，半年足够了。如果想要做饭好看的动作，有自己的一整套过桩动作，至少一年以上。并且一定要坚持，坚持不了的我是劝各位不要去尝试。,3 - 不高不低,3
观察男朋友,他很逗喜欢看他各式各样的表情动作,<1年,没特意记,萌新入门阶段，还在摸索学习,1,1~3小时,不清楚,几十年,,
魔方,魔方速拧，以三阶魔方为例，在通过有时限的观察之后进行还原并及时,3~5年,3k-4k,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门100，精通2k,入门半年，精通3年以上,2,2
刻橡皮章,,3~5年,300左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门100元以内，精通可能也不会花很多钱，但是如果买很多很好的印台，可能也会花费到一千以上,入门很快，两天差不多就能学会怎么刻，精通的话，可能需要一年以上,,
洗车,,1~3年,3000,萌新入门阶段，还在摸索学习,1,<1小时,3w,2年,,
买球鞋,18年之前算小众，19年开始走进大众视野。,3~5年,5万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门500左右买一双鞋也可以，精通没有上限，限量版 球员版 没有上限。,入门最低得1年，了解各种品牌 精通的话得10年以上了。,2,2
听古典音乐,,5~10年,200,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,[ 0，+∞）,入门几个月，精通得很久吧,4,4
烘焙,,3~5年,3000以内,萌新入门阶段，还在摸索学习,1,<1小时,入门：几百块 精通：几千块,入门：一个月 精通：好几年,4,4
摄影,,1~3年,8000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门4000 精通大概10000吧,入门2周 精通1.5年,3 - 不高不低,3
帆船,开船啊,3~5年,200000+吧（买船+训练）,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,六位数（想买船的话）,1.5年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
转发关注的up的抽奖动态,,3~5年,0,有必转,,<1小时,0,一生,3 - 不高不低,3
wargame,用通俗的话就是真人cs，国外都是玩bb的，国内只能用玩水弹，就是那种水宝宝,1~3年,2200,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门顶天500，精通难说,不知道,,
买谷（就是周边，动漫小说之类的ip）,,1~3年,1w以内,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,10几r就可以入门，大佬要大几万吧,本质上就是购物，1-2年也可以吧，纯粹看精力分的多不多,,
古诗词,现在来说大多数人只是在课本上可以见到吧,1~3年,＜1000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0？,我不知道什么算是精通,,
说唱类型的混音及编曲,,1~3年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,200000,6年,4,4
特摄,主要看的是假面骑士和奥特曼，当然还有一些国产的,3~5年,上千了，具体很难算，要买腰带，玩具，还会有线下奥特曼的亲子演出也会去看看。,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,其实完全可以做一个云看客的，不需要花钱就可以做一名特摄大佬,可能起码得按年做单位，保守估计也得一年多，要把之前作品的设定，甚至剧情都记在心中。,3 - 不高不低,3
纪念币,文化 历史 工艺,<1年,1000左右,萌新入门阶段，还在摸索学习,1,<1小时,十几块就可以入门 精通可以说无上限了,入门几个小时就可以 精通不太懂,3 - 不高不低,3
魔方,,5~10年,500,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门10块，精通150块,入门一天，精通几个月甚至是年,,
asmr,人体通过视听触嗅等感知上的刺激，在身体部位产生愉悦的独特刺激，又叫耳音。（百度说的）。我主要是拿来听着睡觉的。,1~3年,300,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门：9.9一个耳机 ，精通：100000，麦克风很贵,入门：1天  精通：3天,,
乒乓球,,>10年,3000+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门:500 精通:3w+,入门:1个月 精通:2年+,5 - 广为人知，老少咸宜的全民爱好,5
桌游,"都玩手机电脑，很难找到人一起玩
不过一些聚会向的就不一样，比如狼人杀，剧本杀，不过圈内有些人不太认可这些属于桌游的范畴！",1~3年,1000，毕竟不是只有我一人花钱,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0一般都是别人带/不定，但是桌游挺贵的,1天/1个月,2,2
看纪录片,,5~10年,300以内,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,如果能找到资源根本不需要花钱^_^,只要打开看就可以，不需要用时间丈量(///▽///),,
卡丁车,,<1年,3000,萌新入门阶段，还在摸索学习,1,<1小时,10000,每周一两次&每天都去,,
小比例汽车模型,不算太小众吧hhh,3~5年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,10   30000,1小时 5年,2,2
指弹吉他,相比弹唱型撩妹，指弹更多吸引同性ㅍ_ㅍ,1~3年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,1000，20000,半年，5年,,
军事,确实充足的实际案例,>10年,不知道,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,此爱好用不用金钱无所谓,不确定,3 - 不高不低,3
刺绣,就是用针线绣一些简单的图案，或者做一些小手工艺品，如手机袋，钱包，手帕等。,1~3年,300,萌新入门阶段，还在摸索学习,1,<1小时,个人觉得最基础入门只需要买绣棚，针和绣线，以及布料，不追求高档，只是练手的话，一两百块钱绰绰有余。玩到精通肯定要追求好的线和布料，投入为几百上千块钱吧。,入门找几个视频看看，练几天就可以。玩到精通的话，个人觉得至少两年以上的练习，期间还要学习更多绣法。,,
发呆,唔，大概就是在清闲的时候，找一个地方坐着或站着，可以是景区公园，也可以就在家里，就那样平淡的，放空着；偶尔也会选择在喧闹的商业街找个地方，待上一个下午，看人，看物，不去思考。,1~3年,2000+，因为出去玩的时候，景区是要门票的,感觉大家应该都很会发呆吧,,<1小时,0元，就在家里也是可以发呆的啊,入门的话，大概两三分钟；精通的话，大概要等到年老退休，颐养天年的时候了,5 - 广为人知，老少咸宜的全民爱好,5
网络小说,,>10年,0,爱好者程度，能带带萌新但依然仰望大佬,2,>6小时,入门：0   精通：0,入门：一个月  精通：两个月17天21小时,,
动作游戏 鬼泣5,,<1年,264,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,264买个豪华版游戏,100小时,,
买鞋,遇见颜值高的鞋会买，遇到性能好的鞋会买。买过最贵的就是科比5李小龙,1~3年,14700,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,500,7天,3 - 不高不低,3
玩要塞：十字军东征,rts类游戏，冷兵器,<1年,100,萌新入门阶段，还在摸索学习,1,<1小时,100,1个月,,
喝茶,如果拉导会看到我的问卷，希望您能看到最后，感谢！,3~5年,1000~3000,我认为很多的爱好不该区分等级,,<1小时,纯看个人喜好,需要一段时间学会正确的泡茶方式，之后就随便了,4,4
吹口琴,不算小众,<1年,100元以内,萌新入门阶段，还在摸索学习,1,<1小时,入门的话推荐购买国产的复音口琴，相对便宜，100元以内就可以搞定。玩到后面就可以试一试布鲁斯和半音阶口琴，有便宜的也有贵的，看爱好者需求了。,每天半小时吧，还是要懂一些简单的乐理,,
